TwitterName,TwitterTag,Timestamp,Tweet
'James F Love IV','JamesFLoveIV','2020-05-30','The real truth about the “inject disinfectant” and “light inside the body” to kill coronavirus comments by Donald Trump is that it is only intended to draw attention away his crimes.  Always look deeper.  Read “Hiding In Plain Sight” by Sarah Kendzior450100'
'tabs','tabithaxanne_','2020-05-29','shut the fuck up — go listen to your president & inject disinfectant Quote Tweettaylor follis@taylorkennedy08·May 29 2020my bad guys didn’t know it’s white privledged to not burn where we live to the ground or steal from stores13'
'Professional Piece Of Shit','Felt_em_Feels','2020-05-29','What the fuck is trump doing? Why the hell are you cutting ties with the WHO? Like they are trying to do good in this world for our country. He doesn't know shit about world health. He didn't even wear a mask to go to the mask factory. He said we should self-inject disinfectant1'
'Gilles Robillard','girobillard','2020-05-28','Hey #Trumpsters / #TrumpVoters "Are u "tired Of Winning Yet" 6) Trump told me / you that "Corona Virus" a #HOAX 7) Trump told me / you that Democrats Create the Virus 8) Now Trump wants you to "inject Disinfectant" in you Veins u like that 8) What did #Trump did 4 u latelyQuote TweetTheuresa Maven@theuresamaven·May 28 2020Per @CBSThisMorning : approximately 2.1 million Americans filed for unemployment insurance last week. There are nearly 40 million people unemployed.21'
'The Fitness Chef','thefitnesschef_','2020-05-28','An innocent black man is brutally murdered by 4 police officers in Minneapolis...  The President of the United States fails to condemn it...  But he does condemn twitter for putting fact check warnings on his advice to inject disinfectant and ‘take’ insulin...  #icantbreathe1218'
'lai yun','jinmakerlai','2020-05-28','Whether you admit it or not Trump is treating your ordinary people like dogs and calling you to inject disinfectant and let you die! Not more than 100000 dead 1 million dead even 10 million dead he will not have any idea!511'
'Harry Turtledove','HNTurtledove','2020-05-27','Donald Trump  100000 dead from #COVID19   If it happens on your watch it’s your fault.  Especially when   * You waste 2 months * You tout worthless drugs * You tell people to inject disinfectant or bleach * You recommend UV light internally * You don’t wear a mask  Useless scum4744'
'Hughster ','hughster','2020-05-27','That Cummings' Barnard Castle trip broke the rules is a "Trump said inject disinfectant" moment for the UK media: an objective truth widely acknowledged that a vocal tribal minority furiously denies. As there the media is being asked to show "balance" between fact & fiction.2'
'Snowcat Tish','SnowcatTish','2020-05-27','Seriously? Trump suggests trying to inject disinfectant to fight Covid and the GOP & their supporters say nothing.   @kathygriffin mentions a syringe of air and all hell breaks loose?  Spare me the fake outrage.  #KathyGriffin #RepublicansAreHypocritesGIFread image descriptionALT1'
'JC WUZ UP','CwazupJ','2020-05-27','It’s called sarcasm.  Just like trump said to inject disinfectant. #Biden2020LandslideQuote TweetPARIS@PARISDENNARD·May 26 2020Just like @SymoneDSanders saying Joe Biden’s bigoted #YouAintBlack comment towards all Black Americans was “said in jest”   We aren’t buying these excuses from these out of touch liberals. twitter.com/RNCResearch/st…'
' Caryn   SlavaUkraïni','Loves_Equines','2020-05-26','·May 27 20201/ @FoxNews @foxandfriends_ @SeanHannity @IngrahamAngle @JudgeJeanine @TomiLahren @GeraldoRivera and the rest of you idiots especially with "Dr." before your names! "Judge"? You sound as stupid as Trump himself. Inject disinfectant? Really?!!!Ultraviolet light inside the body?Quote TweetFreedom from Prejudice @iPicNews·May 26 2020Replying to @SuckerCarlsonNothing like peddling fear & ignorance111Show this thread'
'Profile Name','CIevarUsername','2020-05-26','All you trump supporters saying people are weak for wearing masks when you're not even tough enough to inject disinfectant hydroclorinique and insulin'
'Daniel Dale','ddale8','2020-05-26','Since late last month the president has mused about whether people could inject disinfectant as a coronavirus treatment claimed to be taking hydroxychloroquine as a preventative measure for the coronavirus and wondered aloud whether he should be taking insulin.1766741871'
'Amy','xamyrichiex','2020-05-26','We’re in the middle of a pandemic with the president telling people to inject disinfectant and members of the uk government taking 250 mile trips to test their eyesight but Letitia Dean not being nominated at the #TVChoiceAwards is the most ridiculous thing I’ve heard this year3'
'A Yi','Ay51887990A','2020-05-26','It’s like listening to Trump when he tells you to take an anti malaria drug to prevent #COVID19 when there’s no evidence or to inject disinfectant.Quote TweetZainab Z@zainabtzaki·May 26 2020“Study in nutrition communication found that 78% of nutrition influencers on social media had no background education in nutrition.” Wow! - discussing the current environment of information and disinformation in heath promotion at @_PHAA_ virtual conference. #prevention20202'
'TITUS','TitusNation','2020-05-25','For all of you not wearing a mask because “Trump don’t wear no mask!” He also said we should try to inject disinfectant... so you know  go for it!  Maga!  Right?331011001'
' Dougie','doogie73','2020-05-25','American stupidity!   No wonder why people act like this when #Trump "Leadership" example is to tell people to inject #Disinfectant & then to go off & play golf like 100000 people haven't just died!  #TrumpOwnsEveryDeath #TrumpIsALaughingStock #TrumpIsAnIdiotQuote TweetPantomath @Asking_Questn·May 25 2020Replying to @realDonaldTrumpWe are fighting 2 pandemics.  Covid-19 and Stupidity11'
'TG ','TG22110','2020-05-24','Remember when Joe Biden told you to inject disinfectant and UV light into your body?     Oops sorry that was Donald Trump.From Acyn51310'
'Aure Free Press','_Free_Press','2020-05-23','#BREAKING #COVID19 CASES SPIKING 5/23!   DEATHS!   U.S. With 61400 More #coronavirus Deaths Than The 2nd Highest Country - The UK.  No National Plan No National Testing No National Leadership = No American Safe!   "Inject Disinfectant Into The Body!" - Donald Trump12'
'Aure Free Press','_Free_Press','2020-05-23','#BREAKING #COVID19 CASES SPIKING 5/23!   DEATHS!   U.S. Has 61400 More #coronavirus Deaths Than The 2nd Highest Country - The UK.  No National Plan No National Testing No National Leadership = No Worker Safety!   "Inject Disinfectant Into The Body!" - Donald Trump11'
